id_logu;czas;czas_trwania_sesji;adres_ip;id_systemu
44;04.01.2021 15:05;1909;64.114.229.223;12
45;04.01.2021 16:46;508;209.39.166.223;2
46;04.01.2021 19:11;393;88.217.181.132;9
47;04.01.2021 19:38;470;88.217.181.132;11
48;05.01.2021 02:14;909;185.145.96.116;11
49;05.01.2021 02:22;1496;100.18.207.234;12
50;05.01.2021 03:24;3335;199.239.237.149;12
51;05.01.2021 04:13;2506;101.81.161.142;9
52;05.01.2021 06:21;385;161.96.243.82;8
53;05.01.2021 12:33;1462;136.133.217.210;9
54;05.01.2021 17:30;3350;170.132.134.211;11
55;05.01.2021 19:29;2041;162.115.36.59;2
56;05.01.2021 20:09;1548;124.85.134.138;3
57;05.01.2021 20:33;537;11.143.62.148;7
58;05.01.2021 22:19;903;144.75.100.180;11
59;06.01.2021 05:29;1472;217.38.30.83;5
60;06.01.2021 06:18;214;157.123.63.48;11
61;06.01.2021 16:21;3165;157.152.73.162;9
62;06.01.2021 17:51;2284;144.75.100.180;1
63;06.01.2021 17:57;492;219.196.124.10;5
64;06.01.2021 21:07;2308;88.217.181.132;3
65;06.01.2021 21:32;311;114.161.33.77;9
66;07.01.2021 02:27;1451;201.127.192.12;3
67;07.01.2021 07:03;2577;124.85.134.138;7
68;07.01.2021 12:28;243;99.245.63.132;5
69;07.01.2021 17:37;1323;163.166.168.14;5
70;07.01.2021 23:34;3047;108.29.56.125;11
71;07.01.2021 23:55;3357;252.158.146.10;4
72;08.01.2021 04:56;1067;75.128.162.152;6
73;08.01.2021 14:49;1649;111.162.101.178;5
74;09.01.2021 01:08;605;189.247.90.232;5
75;09.01.2021 04:09;3380;125.235.48.114;6
76;09.01.2021 09:20;1733;91.39.227.39;6
77;09.01.2021 10:14;481;157.152.73.162;7
78;09.01.2021 10:56;3064;69.124.98.187;7
79;09.01.2021 11:28;1550;136.133.217.210;12
80;09.01.2021 13:16;2372;170.222.61.39;4
81;09.01.2021 21:01;356;15.156.228.62;12
82;09.01.2021 23:31;500;75.250.30.38;9
83;10.01.2021 05:27;660;136.133.217.210;3
84;10.01.2021 09:38;2037;236.150.57.240;7
85;10.01.2021 13:56;3061;26.96.86.17;1
86;10.01.2021 20:47;2261;12.40.84.180;10
87;10.01.2021 23:39;646;119.111.205.208;9
88;11.01.2021 04:24;3269;69.124.98.187;7
89;11.01.2021 11:35;34;180.152.29.90;7
90;11.01.2021 13:53;2811;64.114.229.223;9
91;11.01.2021 18:04;3499;155.129.226.229;8
92;11.01.2021 18:12;2158;191.68.12.137;5
93;11.01.2021 23:46;1139;91.39.227.39;11
94;12.01.2021 01:38;812;178.122.122.173;3
95;12.01.2021 13:11;1001;79.88.16.95;6
96;12.01.2021 15:02;2978;162.115.36.59;13
97;12.01.2021 16:07;1298;111.162.101.178;7
98;12.01.2021 20:50;961;136.133.217.210;8
99;13.01.2021 04:19;2142;155.129.226.229;2
100;13.01.2021 08:55;1324;46.49.93.187;13
101;13.01.2021 10:03;443;157.206.71.51;10
102;13.01.2021 11:16;176;180.152.29.90;3
103;13.01.2021 13:29;1706;170.132.134.211;4
104;13.01.2021 13:54;2672;217.38.30.83;11
105;13.01.2021 15:36;116;58.193.62.203;13
106;13.01.2021 17:27;1912;164.111.53.197;12
107;13.01.2021 19:59;3364;12.40.84.180;9
108;14.01.2021 10:40;2855;155.129.226.229;5
109;14.01.2021 11:39;1851;181.73.157.23;13
110;14.01.2021 14:40;273;15.156.228.62;12
111;15.01.2021 09:25;200;189.247.90.232;4
112;15.01.2021 13:00;3490;205.82.164.198;2
113;15.01.2021 18:27;3337;115.66.21.228;12
114;15.01.2021 23:58;2209;125.235.48.114;8
115;16.01.2021 00:57;2177;102.237.21.112;1
116;16.01.2021 10:15;1508;222.83.30.151;5
117;16.01.2021 16:37;2493;219.196.124.10;2
118;16.01.2021 22:03;688;26.96.86.17;13
119;16.01.2021 23:53;2710;222.236.34.184;11
120;17.01.2021 01:43;2047;157.60.242.140;10
121;17.01.2021 03:47;74;118.241.235.137;5
122;17.01.2021 07:45;1767;108.29.56.125;6
123;17.01.2021 08:59;2867;115.66.21.228;5
124;17.01.2021 09:27;3121;119.111.205.208;11
125;17.01.2021 09:54;141;71.210.167.55;12
126;17.01.2021 13:00;2464;155.129.226.229;8
127;17.01.2021 14:48;2359;125.235.48.114;3
128;17.01.2021 17:55;2075;110.11.174.73;8
129;18.01.2021 00:39;2484;47.204.88.176;4
130;18.01.2021 00:51;1667;242.146.184.63;4
131;18.01.2021 01:17;646;222.236.34.184;3
132;18.01.2021 04:13;1096;12.40.84.180;6
133;18.01.2021 08:14;312;26.96.86.17;6
134;18.01.2021 08:42;2945;185.145.96.116;1
135;18.01.2021 13:29;2015;161.96.243.82;4
136;18.01.2021 13:38;968;116.22.134.223;5
137;18.01.2021 17:24;2078;178.122.122.173;7
138;18.01.2021 18:08;210;79.88.16.95;6
139;19.01.2021 01:58;248;64.114.229.223;13
140;19.01.2021 03:18;1560;201.127.192.12;3
141;19.01.2021 09:31;1675;225.214.152.129;1
142;19.01.2021 11:58;1507;47.204.88.176;3
143;19.01.2021 16:58;2257;170.132.134.211;8
144;19.01.2021 17:26;123;75.250.30.38;1
145;19.01.2021 19:23;963;118.80.239.49;7
146;19.01.2021 19:35;654;116.22.134.223;11
147;19.01.2021 21:36;2516;136.133.217.210;10
148;19.01.2021 22:33;2957;55.234.230.127;12
149;19.01.2021 23:06;167;163.166.168.14;6
150;20.01.2021 05:35;1440;118.241.235.137;7
151;20.01.2021 15:19;2754;148.155.168.197;11
152;20.01.2021 17:20;2532;163.166.168.14;2
153;20.01.2021 20:24;3330;58.193.62.203;1
154;21.01.2021 04:34;1996;69.124.98.187;7
155;21.01.2021 05:21;948;101.81.161.142;9
156;21.01.2021 13:16;1865;161.96.243.82;10
157;21.01.2021 13:25;2864;116.22.134.223;8
158;21.01.2021 16:17;3595;201.96.31.251;1
159;21.01.2021 18:37;3579;92.17.51.42;4
160;21.01.2021 19:20;1597;150.78.52.88;7
161;22.01.2021 02:13;127;164.111.53.197;4
162;22.01.2021 05:21;2950;17.76.193.26;2
163;22.01.2021 09:31;1149;35.74.154.46;3
164;23.01.2021 06:22;1819;230.241.94.78;11
165;23.01.2021 06:31;1222;136.133.217.210;10
166;23.01.2021 11:16;1509;55.234.230.127;1
167;23.01.2021 13:12;1983;87.112.121.86;1
168;23.01.2021 14:32;1131;12.40.84.180;5
169;23.01.2021 14:43;2198;119.111.205.208;4
170;23.01.2021 16:00;2751;18.156.90.244;7
171;23.01.2021 16:34;3279;118.241.235.137;6
172;23.01.2021 18:19;1526;177.78.42.187;1
173;23.01.2021 21:59;507;189.247.90.232;11
174;24.01.2021 03:20;2955;139.214.235.22;7
175;24.01.2021 06:11;3509;205.82.164.198;6
176;24.01.2021 07:22;1949;181.73.157.23;11
177;24.01.2021 11:40;121;157.60.242.140;1
178;24.01.2021 13:00;1393;148.155.168.197;11
179;24.01.2021 14:51;1184;114.187.193.206;2
180;24.01.2021 17:53;2786;193.19.200.158;13
181;24.01.2021 18:16;1632;35.74.154.46;6
182;24.01.2021 18:30;3191;152.89.109.127;9
183;25.01.2021 01:22;2847;79.88.16.95;8
184;25.01.2021 10:38;640;124.85.134.138;10
185;25.01.2021 13:33;3405;92.17.51.42;2
186;25.01.2021 16:09;1841;139.14.127.71;12
187;25.01.2021 19:19;166;110.11.174.73;8
188;25.01.2021 23:13;3074;114.161.33.77;9
189;26.01.2021 04:32;1707;164.111.53.197;13
190;26.01.2021 05:49;1801;230.241.94.78;1
191;26.01.2021 05:56;3585;88.217.181.132;7
192;26.01.2021 19:32;3158;13.239.119.79;3
193;27.01.2021 11:47;1628;91.39.227.39;9
194;27.01.2021 15:01;798;88.217.181.132;10
195;27.01.2021 16:24;3277;157.232.58.36;3
196;27.01.2021 18:09;1003;219.196.124.10;8
197;28.01.2021 00:21;538;39.186.111.62;6
198;28.01.2021 01:22;3376;229.140.250.138;6
199;28.01.2021 03:23;1687;87.112.121.86;13
200;28.01.2021 14:05;2674;114.187.193.206;11
201;28.01.2021 15:17;3300;139.14.127.71;5
202;29.01.2021 00:13;1091;125.235.48.114;3
203;29.01.2021 07:11;1135;180.152.29.90;11
204;29.01.2021 08:09;2153;125.235.48.114;7
205;29.01.2021 08:21;2942;230.241.94.78;2
206;29.01.2021 09:29;2021;180.152.29.90;9
207;29.01.2021 10:13;3193;183.242.241.39;5
208;29.01.2021 14:31;1644;75.128.162.152;13
209;29.01.2021 15:24;537;108.29.56.125;1
210;29.01.2021 17:45;162;177.78.42.187;11
211;29.01.2021 18:14;889;88.217.181.132;12
212;29.01.2021 18:23;1162;95.153.135.103;11
213;30.01.2021 05:44;1130;69.124.98.187;9
214;30.01.2021 08:26;1810;157.152.73.162;1
215;30.01.2021 09:58;1371;224.227.160.193;8
216;30.01.2021 11:07;1934;100.18.207.234;13
217;30.01.2021 15:07;801;164.111.53.197;3
218;30.01.2021 17:18;106;80.248.34.53;5
219;30.01.2021 20:08;493;39.186.111.62;10
220;30.01.2021 21:53;1248;205.150.203.185;8
221;30.01.2021 23:51;859;119.111.205.208;13
222;31.01.2021 03:04;3168;163.166.168.14;8
223;31.01.2021 03:06;396;204.80.195.67;3
224;31.01.2021 12:30;1458;183.242.241.39;9
225;31.01.2021 17:58;1217;204.80.195.67;12
226;31.01.2021 19:09;1061;118.80.239.49;5
227;01.02.2021 02:10;105;79.88.16.95;5
228;01.02.2021 02:30;2676;69.38.74.171;7
229;01.02.2021 02:42;3383;242.146.184.63;13
230;01.02.2021 05:26;459;169.198.44.174;11
231;01.02.2021 20:32;2650;125.235.48.114;11
232;01.02.2021 22:30;3245;99.245.63.132;10
233;01.02.2021 23:03;2989;183.242.241.39;9
234;02.02.2021 02:31;2679;17.76.193.26;4
235;02.02.2021 04:09;1257;92.17.51.42;9
236;02.02.2021 08:39;493;88.217.181.132;1
237;02.02.2021 10:25;2439;31.21.64.255;3
238;02.02.2021 11:58;2788;139.14.127.71;2
239;02.02.2021 16:16;1357;209.39.166.223;4
240;02.02.2021 20:29;2585;111.162.101.178;2
241;03.02.2021 01:45;3454;88.217.181.132;2
242;03.02.2021 03:39;2720;125.235.48.114;7
243;03.02.2021 03:56;1191;100.18.207.234;2
244;03.02.2021 17:39;2451;205.82.164.198;6
245;03.02.2021 22:20;1234;95.153.135.103;12
246;04.02.2021 03:09;2511;125.235.48.114;10
247;04.02.2021 07:39;301;95.153.135.103;4
248;04.02.2021 12:50;3477;11.143.62.148;2
249;04.02.2021 18:18;2223;217.248.144.22;10
250;05.02.2021 02:29;1796;88.217.181.132;6
251;05.02.2021 06:28;2558;64.114.229.223;5
252;05.02.2021 08:17;2056;252.158.146.10;8
253;05.02.2021 12:11;591;157.232.58.36;11
254;05.02.2021 19:36;2536;71.210.167.55;2
255;06.02.2021 05:01;695;115.66.21.228;4
256;06.02.2021 08:48;3282;110.11.174.73;13
257;06.02.2021 12:17;531;31.21.64.255;11
258;06.02.2021 17:41;908;83.176.116.16;12
259;06.02.2021 20:53;389;80.248.34.53;7
260;07.02.2021 01:14;459;124.85.134.138;9
261;07.02.2021 05:12;1537;157.232.58.36;4
262;07.02.2021 05:15;1322;170.222.61.39;13
263;07.02.2021 09:37;1679;69.38.74.171;13
264;07.02.2021 10:47;3118;242.146.184.63;6
265;07.02.2021 14:53;2808;116.22.134.223;11
266;07.02.2021 21:06;1565;219.196.124.10;4
267;07.02.2021 21:06;574;117.79.146.136;3
268;07.02.2021 21:51;694;11.143.62.148;4
269;08.02.2021 06:31;2965;26.96.86.17;12
270;08.02.2021 08:38;2139;39.186.111.62;6
271;08.02.2021 09:42;3354;71.210.167.55;6
272;08.02.2021 10:13;2266;164.111.53.197;3
273;08.02.2021 14:31;2136;214.71.48.93;5
274;08.02.2021 18:29;2294;111.162.101.178;9
275;09.02.2021 00:20;2126;31.21.64.255;1
276;09.02.2021 06:32;332;189.247.90.232;6
277;09.02.2021 14:48;2762;150.78.52.88;7
278;09.02.2021 17:56;2044;117.79.146.136;5
279;09.02.2021 22:42;2880;204.80.195.67;2
280;10.02.2021 01:00;2823;150.78.52.88;9
281;10.02.2021 01:20;81;173.17.122.108;4
282;10.02.2021 09:26;1797;102.237.21.112;13
283;10.02.2021 18:39;775;102.139.90.106;8
284;10.02.2021 20:53;3476;124.85.134.138;6
285;11.02.2021 02:15;549;117.79.146.136;8
286;11.02.2021 06:28;3206;157.123.63.48;2
287;11.02.2021 06:43;3094;125.235.48.114;9
288;11.02.2021 07:14;3516;178.122.122.173;10
289;11.02.2021 11:32;1210;139.14.127.71;10
290;11.02.2021 22:02;3590;119.111.205.208;8
291;11.02.2021 22:26;2230;95.153.135.103;7
292;11.02.2021 22:46;1834;157.123.63.48;10
293;12.02.2021 01:03;911;13.239.119.79;2
294;12.02.2021 11:18;2740;197.16.98.90;3
295;12.02.2021 12:09;26;205.150.203.185;9
296;12.02.2021 14:46;3562;114.161.33.77;11
297;12.02.2021 16:39;2334;13.239.119.79;6
298;12.02.2021 17:08;3118;101.81.161.142;10
299;12.02.2021 19:26;754;118.80.239.49;6
300;12.02.2021 20:01;3550;185.145.96.116;12
301;12.02.2021 22:09;1048;100.18.207.234;5
302;13.02.2021 03:24;1725;116.22.134.223;1
303;13.02.2021 05:14;807;87.112.121.86;8
304;13.02.2021 05:21;117;55.234.230.127;8
305;13.02.2021 07:22;2579;170.132.134.211;8
306;13.02.2021 07:59;921;159.125.210.101;11
307;13.02.2021 09:20;1784;75.250.30.38;6
308;13.02.2021 18:47;2057;157.60.242.140;6
309;13.02.2021 22:58;3407;69.38.74.171;5
310;13.02.2021 23:54;1383;162.115.36.59;8
311;14.02.2021 11:20;300;118.241.235.137;1
312;14.02.2021 11:50;1142;58.193.62.203;3
313;14.02.2021 12:28;2892;183.212.138.199;7
314;14.02.2021 12:46;1712;139.14.127.71;6
315;15.02.2021 02:37;953;92.17.51.42;10
316;15.02.2021 03:07;2694;13.239.119.79;1
317;15.02.2021 07:34;2862;124.85.134.138;6
318;15.02.2021 09:34;968;69.38.74.171;10
319;15.02.2021 11:45;2115;205.150.203.185;9
320;15.02.2021 15:50;3367;224.227.160.193;2
321;15.02.2021 20:25;3076;69.38.74.171;5
322;15.02.2021 22:35;2489;91.39.227.39;9
323;16.02.2021 06:28;3057;71.210.167.55;11
324;16.02.2021 12:00;2204;205.150.203.185;1
325;16.02.2021 12:49;2531;102.237.21.112;13
326;16.02.2021 13:49;3369;205.150.203.185;1
327;16.02.2021 14:15;880;46.49.93.187;8
328;16.02.2021 19:18;173;125.235.48.114;12
329;16.02.2021 21:48;373;110.11.174.73;13
330;17.02.2021 03:06;2518;242.146.184.63;7
331;17.02.2021 08:07;2572;102.237.21.112;8
332;17.02.2021 13:17;1237;183.212.138.199;4
333;17.02.2021 18:15;1949;83.176.116.16;11
334;18.02.2021 00:29;2992;125.235.48.114;12
335;18.02.2021 10:01;3074;92.17.51.42;8
336;18.02.2021 16:28;881;217.248.144.22;3
337;18.02.2021 18:14;1911;47.204.88.176;9
338;19.02.2021 00:19;359;214.71.48.93;10
339;19.02.2021 02:55;1971;170.132.134.211;3
340;19.02.2021 08:24;2748;157.123.63.48;4
341;19.02.2021 08:49;690;157.152.73.162;13
342;19.02.2021 15:34;1391;157.123.63.48;4
343;19.02.2021 19:57;661;39.186.111.62;4
344;19.02.2021 23:13;1805;119.111.205.208;6
345;20.02.2021 12:11;3316;38.162.243.217;13
346;20.02.2021 13:02;3081;100.18.207.234;7
347;20.02.2021 14:27;1455;185.145.96.116;4
348;20.02.2021 18:33;2426;181.73.157.23;12
349;20.02.2021 20:59;1350;83.176.116.16;11
350;20.02.2021 23:53;1042;157.152.73.162;8
351;21.02.2021 00:20;1549;43.62.239.125;6
352;21.02.2021 09:19;2361;87.112.121.86;5
353;21.02.2021 12:35;1686;157.60.242.140;6
354;21.02.2021 14:33;208;47.204.88.176;10
355;21.02.2021 16:29;2957;75.128.162.152;11
356;22.02.2021 02:31;3179;181.73.157.23;11
357;22.02.2021 02:38;1160;30.137.46.77;7
358;22.02.2021 06:04;424;201.96.31.251;6
359;22.02.2021 12:35;2016;95.153.135.103;10
360;22.02.2021 14:16;2612;191.68.12.137;5
361;22.02.2021 17:01;1537;55.234.230.127;2
362;23.02.2021 02:08;29;148.155.168.197;12
363;23.02.2021 02:15;264;209.39.166.223;7
364;23.02.2021 03:11;1625;91.39.227.39;9
365;23.02.2021 07:14;2493;205.150.203.185;4
366;23.02.2021 10:52;2217;91.15.172.178;11
367;23.02.2021 11:00;2739;170.222.61.39;1
368;23.02.2021 23:52;356;247.144.57.79;9
369;24.02.2021 02:11;1254;71.210.167.55;5
370;24.02.2021 03:40;1560;139.214.235.22;4
371;24.02.2021 09:11;3473;18.156.90.244;6
372;24.02.2021 09:50;470;180.152.29.90;10
373;24.02.2021 14:45;173;157.232.58.36;12
374;24.02.2021 17:12;1317;30.137.46.77;3
375;24.02.2021 19:19;3347;139.214.235.22;11
376;24.02.2021 19:22;2306;150.78.52.88;7
377;24.02.2021 21:39;1650;163.166.168.14;10
378;24.02.2021 22:19;2391;118.241.235.137;4
379;25.02.2021 03:51;2216;114.161.33.77;8
380;25.02.2021 04:54;1530;161.96.243.82;13
381;25.02.2021 06:12;2650;139.214.235.22;2
382;25.02.2021 06:59;2849;157.232.58.36;4
383;25.02.2021 08:02;2880;173.17.122.108;1
384;25.02.2021 10:09;649;164.111.53.197;2
385;25.02.2021 13:41;3474;116.22.134.223;9
386;25.02.2021 13:50;2319;46.49.93.187;1
387;25.02.2021 14:29;3321;88.217.181.132;13
388;25.02.2021 18:03;3122;46.49.93.187;1
389;25.02.2021 22:48;702;161.96.243.82;9
390;25.02.2021 23:58;2958;30.137.46.77;10
391;26.02.2021 01:01;2283;83.176.116.16;4
392;26.02.2021 05:27;306;12.40.84.180;6
393;26.02.2021 05:42;2691;163.166.168.14;4
394;26.02.2021 10:24;1019;124.85.134.138;4
395;26.02.2021 11:29;1777;102.237.21.112;5
396;26.02.2021 11:35;32;157.232.58.36;13
397;26.02.2021 21:35;2228;116.22.134.223;8
398;26.02.2021 22:59;757;91.15.172.178;8
399;27.02.2021 00:03;681;91.15.172.178;11
400;27.02.2021 01:15;2237;110.11.174.73;10
401;27.02.2021 04:11;350;157.232.58.36;7
402;27.02.2021 17:02;3522;39.186.111.62;11
403;27.02.2021 19:24;3083;47.204.88.176;1
404;27.02.2021 19:28;3399;83.176.116.16;4
405;27.02.2021 22:52;837;80.248.34.53;2
406;27.02.2021 23:42;2776;13.239.119.79;11
407;28.02.2021 00:16;3295;15.156.228.62;9
408;28.02.2021 03:26;1355;69.124.98.187;13
409;28.02.2021 06:23;2958;150.78.52.88;12
410;28.02.2021 18:06;2931;185.145.96.116;7
411;28.02.2021 18:43;3246;191.68.12.137;9
412;28.02.2021 19:58;1315;177.78.42.187;3
413;28.02.2021 20:59;2624;169.198.44.174;3
414;28.02.2021 22:20;1747;222.236.34.184;8
415;01.03.2021 01:10;2665;95.153.135.103;11
416;01.03.2021 02:22;166;197.16.98.90;11
417;01.03.2021 03:17;2519;219.196.124.10;10
418;01.03.2021 04:30;957;75.250.30.38;8
419;01.03.2021 06:04;3248;58.193.62.203;1
420;01.03.2021 06:43;3543;125.235.48.114;9
421;01.03.2021 07:32;2250;95.153.135.103;10
422;01.03.2021 09:35;1165;124.85.134.138;5
423;01.03.2021 10:00;2320;177.78.42.187;4
424;01.03.2021 20:34;2611;83.176.116.16;11
425;02.03.2021 10:28;2851;224.227.160.193;5
426;02.03.2021 18:29;3201;224.227.160.193;13
427;02.03.2021 19:35;899;152.89.109.127;10
428;03.03.2021 00:09;504;169.198.44.174;8
429;03.03.2021 00:17;2922;95.153.135.103;5
430;03.03.2021 01:05;2380;12.40.84.180;12
431;03.03.2021 03:18;823;139.214.235.22;1
432;03.03.2021 07:03;84;155.129.226.229;11
433;03.03.2021 11:57;594;214.71.48.93;6
434;03.03.2021 20:13;3179;201.127.192.12;3
435;04.03.2021 01:59;614;118.80.239.49;11
436;04.03.2021 04:18;1063;170.222.61.39;1
437;04.03.2021 11:40;837;125.235.48.114;2
438;04.03.2021 15:27;2990;136.133.217.210;11
439;04.03.2021 21:44;658;51.56.47.223;2
440;05.03.2021 00:12;3346;102.237.21.112;6
441;05.03.2021 04:24;312;102.237.21.112;7
442;05.03.2021 11:44;2656;139.14.127.71;9
443;05.03.2021 20:24;868;159.125.210.101;8
444;06.03.2021 01:56;3073;219.196.124.10;9
445;06.03.2021 02:52;574;183.242.241.39;12
446;06.03.2021 04:02;2576;144.75.100.180;2
447;06.03.2021 14:58;3303;205.150.203.185;10
448;06.03.2021 20:30;2967;75.128.162.152;8
449;06.03.2021 21:06;2394;26.96.86.17;12
450;07.03.2021 02:39;1060;125.235.48.114;12
451;07.03.2021 04:05;2943;236.150.57.240;9
452;07.03.2021 06:59;535;114.161.33.77;8
453;07.03.2021 12:18;315;181.73.157.23;12
454;07.03.2021 15:55;763;83.176.116.16;1
455;07.03.2021 16:48;294;217.38.30.83;13
456;07.03.2021 18:32;1544;189.247.90.232;1
457;07.03.2021 23:19;3467;29.196.174.182;12
458;08.03.2021 02:39;893;199.239.237.149;6
459;08.03.2021 03:35;137;114.187.193.206;4
460;08.03.2021 05:06;2871;35.74.154.46;6
461;08.03.2021 09:34;3540;177.78.42.187;13
462;08.03.2021 13:32;772;230.241.94.78;11
463;08.03.2021 13:35;140;173.17.122.108;8
464;08.03.2021 16:59;3417;87.112.121.86;9
465;08.03.2021 17:47;1093;217.248.144.22;8
466;09.03.2021 00:13;214;161.96.243.82;11
467;09.03.2021 00:34;692;197.16.98.90;2
468;09.03.2021 01:02;1105;205.82.164.198;11
469;09.03.2021 02:41;2057;155.129.226.229;7
470;09.03.2021 02:55;1849;197.16.98.90;11
471;09.03.2021 04:08;1327;15.156.228.62;4
472;09.03.2021 07:20;638;71.210.167.55;6
473;09.03.2021 18:40;122;199.239.237.149;2
474;09.03.2021 19:04;2070;170.132.134.211;8
475;09.03.2021 21:33;3480;108.29.56.125;11
476;09.03.2021 23:44;1865;30.137.46.77;9
477;10.03.2021 10:00;1177;183.212.138.199;3
478;10.03.2021 10:17;807;183.242.241.39;13
479;10.03.2021 21:04;221;118.80.239.49;6
480;10.03.2021 22:29;1617;205.82.164.198;9
481;11.03.2021 00:17;2876;75.128.162.152;6
482;11.03.2021 02:46;2131;222.236.34.184;4
483;11.03.2021 11:28;458;230.241.94.78;5
484;11.03.2021 13:12;763;95.153.135.103;13
485;11.03.2021 17:17;345;118.241.235.137;13
486;11.03.2021 19:40;127;222.83.30.151;5
487;12.03.2021 13:08;1117;139.214.235.22;1
488;12.03.2021 15:59;1091;162.115.36.59;1
489;13.03.2021 00:08;3198;43.62.239.125;8
490;13.03.2021 00:30;1023;219.196.124.10;8
491;13.03.2021 06:36;1400;214.71.48.93;3
492;13.03.2021 07:02;1918;225.214.152.129;12
493;13.03.2021 11:10;385;225.214.152.129;2
494;13.03.2021 12:34;1260;75.128.162.152;13
495;13.03.2021 13:25;716;157.60.242.140;7
496;13.03.2021 20:22;996;225.214.152.129;2
497;14.03.2021 00:28;2787;114.187.193.206;2
498;14.03.2021 04:11;1750;79.88.16.95;10
499;14.03.2021 04:37;205;136.133.217.210;9
500;14.03.2021 06:20;715;201.96.31.251;13
501;15.03.2021 02:29;3397;214.71.48.93;5
502;15.03.2021 07:01;2742;118.80.239.49;7
503;15.03.2021 13:22;2853;170.222.61.39;9
504;15.03.2021 13:34;175;181.73.157.23;4
505;15.03.2021 13:53;2221;88.217.181.132;2
506;15.03.2021 17:45;2257;217.248.144.22;10
507;15.03.2021 23:46;1982;43.62.239.125;13
508;16.03.2021 04:10;220;46.49.93.187;8
509;16.03.2021 04:27;788;91.15.172.178;11
510;16.03.2021 10:01;1763;229.140.250.138;7
511;16.03.2021 13:11;808;170.222.61.39;10
512;16.03.2021 16:52;316;199.239.237.149;5
513;17.03.2021 03:01;1022;31.21.64.255;10
514;17.03.2021 03:15;1563;139.14.127.71;12
515;17.03.2021 04:44;386;125.235.48.114;10
516;17.03.2021 08:05;3060;178.122.122.173;13
517;17.03.2021 09:51;2963;69.124.98.187;10
518;17.03.2021 10:25;1930;64.114.229.223;13
519;17.03.2021 10:43;814;38.162.243.217;5
520;17.03.2021 11:21;2320;201.96.31.251;11
521;17.03.2021 11:42;2901;163.166.168.14;8
522;17.03.2021 15:08;2197;115.66.21.228;12
523;17.03.2021 17:03;2534;91.39.227.39;3
524;17.03.2021 18:38;743;177.78.42.187;4
525;17.03.2021 21:09;2248;124.85.134.138;11
526;17.03.2021 22:01;2782;115.66.21.228;1
527;17.03.2021 22:09;2307;119.111.205.208;9
528;17.03.2021 22:15;680;15.156.228.62;2
529;17.03.2021 22:50;2805;236.150.57.240;8
530;17.03.2021 23:04;746;229.140.250.138;3
531;18.03.2021 04:01;2499;157.206.71.51;5
532;18.03.2021 07:30;316;108.29.56.125;9
533;18.03.2021 08:08;3287;83.176.116.16;8
534;18.03.2021 08:26;2179;51.56.47.223;12
535;18.03.2021 13:10;2174;69.38.74.171;11
536;18.03.2021 16:08;3414;191.68.12.137;7
537;18.03.2021 19:40;3331;102.139.90.106;13
538;18.03.2021 23:56;3519;12.40.84.180;2
539;19.03.2021 07:57;1807;225.214.152.129;1
540;19.03.2021 10:31;2265;39.186.111.62;6
541;19.03.2021 15:50;1171;91.15.172.178;9
542;19.03.2021 21:35;2536;209.39.166.223;6
